Rank,Clan Name,Score,Leader Name
1,のです Void,1185493744,Phoenix~
2,ArisaCult,1184708516,Halcyon
3,Ethereal,1182692364,Pang
4,KannaCult,1180857846,TearGrants
5,メガ MILKERS,1178701061,baeck
6,SarenCult,1168710567,☆ Huggy
7,FuwaFuwa,1163635396,Chiyo
8,Kyaru Cult,1152499889,Kyaru
9,Oasis,1148631310,Miyuki
10,Weepo,1139955454,peng
11,楽しかった<3,1132067096,Tomo
12,Imanity,1131507891,RIP Tobi
13,Beepo,1122174145,LeonidasII
14,WeLoveTim3,1102336858,Shyrel
15,WeLoveTim2,1089149460,Serecola
16,WeLoveTim5,1088011726,Ω Shiraori
17,Eternum,1083807934,Jester
18,Schwarz,1083231399,Poke
19,CafeQuanta,1081758326,Bacca
20,Haunted,1077964959,Venom
21,kusa boys,1077829246,TFG
22,WeLoveTim6,1070742624,HornyKitty
23,Royalty,1070620696,Ashevish~
24,Midnight,1070606787,Lock
25,MQH,1067780464,Ace
26,YukariCult,1064333721,J-Klump
27,Twilight,1060628271,Chio
28,Salivation,1051629370,Muse
29,WeLoveTim4,1050600141,Not Peko
30,Nyapolitan,1044059259,Sashandra
31,Zero,1042961511,Asariel
32,AEGISEoG,1041119057,Racter
33,Falkonne,1036311283,Sparrow 狐
34,WeLoveTim,1034982691,Zyf
35,ClubCosmos,1034886514,Silfrash
36,Ever Tale,1032379530,Amai
37,VnSharing,1031255057,Artorias
38,WeHateCB8,1030695192,ad1
39,日本酒,1023200567,臥室裡的琉璃在打炮
40,Waifufans,1021206245,elmoebuta
41,AtelierCT,1015720321,Kurogane
42,MasterMr’s,1008061074,SpOmChaErk
43,Origin,999627533,TS
44,KyaruEel,996200293,Bk
45,PrincessLa,993415874,Peloncho
46,Stealers,992428689,narzack~
47,「Onigiri」,989000135,Nyan'sKid
48,Nousagis,978111813,Renne
49,Wicked Fox,976297577,Xhian
50,Mist,972424260,Nub
51,France,967918111,Hikyon
52,Akukin,964606955,MadHatter
53,Superbia,956786314,Dawn
54,Dusk,956654967,Nova
55,Maple Tree,955630293,Maddie
56,BoarHat,949763924,Maximus
57,EoS,948066092,Raven
58,Subatomos,941238798,Baka
59,Waifufans2,939728826,Adrien
60,Gomen YUI,937575474,Nanashi
61,Kokko Club,933448579,Rasec
62,Tsuki,930704117,Yuuki
