Rank,Clan Name,Score,Leader Name
1,Scarlet,492950056,Djk
2,Weepo,489653807,Neptune
3,Sky,482446145,Houshou☆
4,KannaCult,470288668,TearGrants
5,Valk,468872234,Jung
6,Ethereal,461502695,Pang
7,SarenCult,461148219,HuggyF2p
8,Sweatshop,459062041,Phoenix
9,Beepo 2930,457590517,SmolSproot
10,FuwaFuwa,453415510,Chiyo
11,Bracers,453161302,Krizz
12,MegaMilk,449213031,baeck
13,Imanity,448165923,Yon
14,DankSoul,447747892,DankSimp
15,EoS,447571592,EDM-BANGER
16,False bans,446150027,Miyuki
17,ScarletV4,444954515,Eggplant
18,29/30,441065646,Jester
19,Yuibats,437728354,Tomo
20,AEGIS,435217460,Racter
21,Dream,429102919,Kymori
22,Haunted,427794889,Venom
23,Invidia,425032050,Rong
24,AkaiHaato,424299503,eLeVeN☆
25,We Auto CB,424089400,Zyf
26,The Mist海霧,423427651,Muai
27,Neko Nyaan,422717937,Sashandra
28,Eden,422514921,MSTKid
29,Re:wind,419901504,Stagul
30,28/30,419445092,Kishi-kun
31,Night Owls,418061460,Zennou
32,栄 INVERSE,417203081,Comfy
33,2DThighs,415907934,Balmy
34,Ghosts,414293360,Lino
35,CafeQuanta,413547196,Gyarudell
36,Fukano,412295584,Golem
37,Eclair,411739095,Zeftyy
38,Nightmare,411521192,Asariel
39,「Onigiri」,407803001,Nyandehyde
40,Ever Tale,407214131,Tear
41,Salivation,406628436,Muse
42,4DThighs,405341002,Dalamar
43,Wu,402897614,Borkono
44,Prismatic,400037625,Yousomaru
45,MQH,397546471,Ace
46,WE AUTOCB2,397378357,Serecola
47,We AUTOCB3,395493714,Ekzann
48,Wicked Fox,392699585,Foxy
49,Royalty,391224955,Ashevish
50,Pierrot,391000096,Frozy
51,Weebs Out,390447977,Rexxa
52,Kenjataimu,388050873,Kenja
53,Elegy,387288302,Fuuze
54,Forced2pay,385857268,Mister
55,Origin,383457695,Sinzari
56,France,382218424,Nomis
57,Realm,380263206,Aku
58,Midnight 3,379142465,JS
59,VnSharing,377684134,Artorias
60,WolKnights,374958311,Kaia
61,Solace,374892205,Versatile
62,4clan,370426769,Spaerk
63,Fate,369533001,Kyo
64,Kokko Club,368632991,Rasec
65,Kyaruland,368472558,hori
66,Re:Roll,368185633,Marchez
67,戦 Weebs,367404629,琉璃 × 霞没穿下身
68,Sent,366373036,SentryCore
69,Waifufans,364144424,elmoebuta
70,Nousagis,363902862,Renne
71,Uncharted,363822440,Another
72,Maple Tree,362692778,Maple
73,Ignoto,362349079,JSar
74,AvgD,360332920,Ted
75,ArchZero,359739702,Rimuru
76,BoarHat,359111721,Tendou 
77,Pekoland,357218454,b0ss°
78,Abyss,356693618,NysAshura
79,ネINVERSE ■,356665480,Poke
80,Fantasy,356312538,Kan
81,Downone,355483533,Fal
82,Eclipse,352786833,Wolf
83,Tsuki,352337459,Yuuki
84,Ambition,352193021,Ichi
85,Wyvern 13,351282465,SeulRay
86,PekoMiko,350598297,Gellal
87,Sanc,350415353,iansky
88,19700101,347805490,Phoenix
89,KoA,346000084,Joeyy
90,Gomen YUI,345779976,Nanashi
91,TsunTsun,345657357,Omonomous
92,Vroom,345101206,Chie
93,Weebs,344974746,Fushi 
94,ACT,344898761,Arukate
95,TheOffice,342555108,Hollocho
96,Dai Shouri,342506339,Kaneh
97,Hatdog,342413524,Missa
98,ShadowIsle,339620342,Npheria
99,Pain Peko,337414803,Ascho
100,Wolhaksong,337022366,RFK
101,Yum,336998128,Jennasaur
102,Misters,336975657,Spagoots
103,Re:Salt,336127514,Ezo
104,Blush,335747384,Sam
105,NamePendin,335448193,pipo
106,Ellinia,335446537,wutty
107,Mystic,335012645,OmiD
108,WhySoToxic,334826433,Bitdragon
109,Re:Run,333300490,Anfanger
110,HoloMyth,333146748,SkyDragger
111,Re:Zero,332993090,ram
112,Feather,332944380,Dust
113,Aegis ,332942010,TRS
114,1+1=3,332730198,Keelus
115,Waifu Army,332510243,Dalamar
116,7 Crowns,332418668,Cantabrum 
117,Hoji,332077296, Cheese
118,Pandaverse,331546763,Sirson
119,Akari Cult,331368890,LuismyP
120,ClanPotato,330988367,Sheiter
121,Mythical★,330985540,Echo
122,YabaiYabai,330753381,Kraylore
123,Lunarian,330512997,Kano
124,Awaken,330090896,riripwn
125,Neko Cafe,329252918,Wizi
126,kusa boys,329051172,TFG
127,Enmity,328572618,Zenovyx
128,Mongrels,327879792,Shark
129,Hestia,327499724,Valdis
130,KENUM ,327155157,マスター
131,Kaiba Corp,327138692,Monoultra
132,Akukin,327093242,MadHatter
133,France:Re,326499786,Hikyon
134,Princessla,326416362,Peloncho
135,UwUGirls,326005697,Joey
136,Anbu,325469811,Keiichi
137,Goats,325186497,Rengeki
138,L.G.D,324707343,Kal’tsit
139,BDELlama,324514542,Merc
140,夜明け,324355679,Tsuki
141,Hololive,324162504,Pekora
142,BebekBakar,323709322,BB｜anzai
143,NicoNico,323622985,wham
144,Kodama,323596906,Sudokukai
145,Dreamer VN,323027647,Derumu
146,Spatzele,322990317,Rena
147,Mist,322749642,Nub
148,PekoPeko,322713999,OmniRaka
